Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
SA,76,40,80,181,1680,594,134,138,174,136,123,306,67,59,137,127,93,81,43,124,168,105,81,248,243,177,289
3-Cl SA,12,11,15,21,27,24,24,11,23,28,21,25,18,13,20,24,16,11,10,8,23,15,11,10,8,8,8
5-Cl SA,9,8,6,15,22,22,14,7,25,19,10,22,8,9,17,17,9,8,0,6,6,10,8,25,31,18,25
Cl2 SA,82,60,79,121,166,143,163,101,164,186,157,147,64,61,77,66,46,30,24,39,71,59,43,183,192,122,150
3-Br SA,3,7,4,29,47,40,37,24,34,45,25,42,7,2,8,8,5,2,2,3,7,4,5,3,5,2,3
5-Br SA,0,0,0,6,10,9,61,4,9,8,4,10,0,3,3,3,2,0,0,0,0,2,0,4,6,0,4
Br2 SA,16,19,20,0,13,11,12,0,10,12,0,12,0,0,0,0,10,0,9,15,28,14,13,208,90,36,183
ClB SA,10,16,9,10,14,12,14,9,11,13,10,11,7,13,22,21,8,3,3,7,8,10,5,28,36,24,19
Napr,34,106,16,2190,2810,3470,2170,1500,3680,2980,1310,3310,111,27,49,29,23,138,113,146,20,40,45,838,979,353,731
Napr Cl,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,23,0,5,4,0,0,0,0,0,0,0
Napr Br,11,10,5,25,28,33,23,29,23,23,26,27,10,4,7,0,6,4,9,10,29,6,8,112,132,104,86
Diclof,149,116,122,335,438,433,440,301,389,430,374,413,184,132,114,10,0,229,207,57,303,109,181,302,364,308,286
Diclof Cl,13,11,26,0,0,0,0,0,0,0,6,0,21,21,11,5,5,11,21,0,15,16,29,0,0,0,0
Gemfib,179,421,259,3440,3830,3800,2970,3080,3280,3560,3190,3390,829,193,324,142,63,190,886,562,889,184,427,1430,1560,1010,1490
Gemfib Cl,5,13,24,0,4,4,4,0,0,0,0,0,56,24,15,35,27,6,46,12,42,14,36,6,10,6,10
Gemfib Br,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,12,5,0,5,0,0,5,5,4,6,0,8
BPA,0,0,0,648,617,587,404,483,481,545,651,697,10,0,0,0,0,0,0,0,20,0,0,20,37,0,0
OP,NA,NA,NA,1700,1380,1550,1160,1380,1060,1280,1860,1290,64,29,30,15,10,51,55,NA,NA,21,32,220,590,257,293
OP Cl,0,0,0,12,17,12,18,10,11,14,19,9,7,0,0,0,0,0,6,8,7,0,0,0,0,0,0
tech NP,NA,NA,NA,2720,2740,3610,2920,2380,2140,3130,2970,2990,169,151,0,265,293,0,213,NA,NA,81,166,530,1660,763,1010
tech NP Cl,15,10,18,55,91,49,114,53,47,106,115,42,18,13,7,4,4,11,27,17,17,6,19,30,18,10,40
tech NP Cl2,0,9,7,8,12,9,16,8,9,18,19,8,7,7,4,0,0,0,12,11,7,5,10,5,0,0,7
tech NP Br,0,0,0,21,34,21,38,18,20,36,39,19,0,0,0,0,0,0,6,7,0,0,0,16,5,4,24
tech NP Br2,0,0,0,60,90,113,60,77,93,352,372,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
